iter	Passed	Remaining
0	522	51753
1	1048	51387
2	1571	50800
3	2097	50343
4	2619	49762
5	3140	49202
6	3653	48533
7	4173	47997
8	4689	47412
9	5205	46848
10	5722	46302
11	6252	45852
12	6768	45296
13	7287	44767
14	7807	44245
15	8329	43727
16	8845	43188
17	9376	42714
18	9893	42177
19	10410	41643
20	10938	41150
21	11476	40689
22	12006	40196
23	12528	39673
24	13050	39150
25	13569	38620
26	14098	38119
27	14614	37578
28	15140	37066
29	15667	36556
30	16186	36028
31	16700	35488
32	17221	34964
33	17736	34429
34	18264	33918
35	18853	33517
36	19398	33029
37	19925	32510
38	20448	31983
39	20992	31488
40	21530	30982
41	22063	30468
42	22620	29985
43	23264	29609
44	23798	29087
45	24330	28561
46	24851	28023
47	25394	27510
48	25931	26989
49	26529	26529
50	27088	26025
51	27658	25531
52	28214	25020
53	28778	24514
54	29338	24004
55	29899	23492
56	30480	22994
57	31055	22488
58	31619	21972
59	32182	21455
60	32767	20949
61	33327	20426
62	33872	19893
63	34435	19369
64	34987	18839
65	35530	18303
66	36075	17768
67	36611	17229
68	37161	16695
69	37709	16161
70	38245	15621
71	38789	15084
72	39327	14545
73	39875	14010
74	40416	13472
75	40961	12935
76	41502	12396
77	42059	11862
78	42596	11323
79	43144	10786
80	43686	10247
81	44226	9708
82	44769	9169
83	45325	8633
84	45868	8094
85	46418	7556
86	46975	7019
87	47519	6479
88	48072	5941
89	48612	5401
90	49159	4861
91	49708	4322
92	50249	3782
93	50802	3242
94	51350	2702
95	51889	2162
96	52443	1621
97	52995	1081
98	53535	540
99	54084	0
